Title,Price,Rating,Colors,Size,Gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-05-10 03:05:52.295593
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-05-10 03:05:52.295634
Pants 4,7476960.0,3.3,3,XL,Men,2026-05-10 03:05:52.295675
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-05-10 03:05:52.295713
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-05-10 03:05:52.295750
Crewneck 7,6892000.0,4.3,3,M,Men,2026-05-10 03:05:52.295786
T-shirt 8,7802560.0,3.1,3,L,Women,2026-05-10 03:05:52.295822
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-05-10 03:05:52.295858
Pants 10,3100160.0,4.2,3,XXL,Men,2026-05-10 03:05:52.295897
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-05-10 03:05:52.295968
Crewneck 13,5447200.0,3.2,3,L,Men,2026-05-10 03:05:52.296003
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-05-10 03:05:52.296038
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-05-10 03:05:52.296073
Outerwear 17,841600.0,3.8,3,M,Women,2026-05-10 03:05:52.296148
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-05-10 03:05:52.296186
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-05-10 03:05:52.296221
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-05-10 03:05:52.296256
Pants 22,4319680.0,4.9,3,M,Men,2026-05-10 03:05:52.415428
Outerwear 23,4655840.0,3.7,3,L,Women,2026-05-10 03:05:52.415466
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-05-10 03:05:52.415503
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-05-10 03:05:52.415539
T-shirt 26,7292320.0,4.6,3,S,Women,2026-05-10 03:05:52.415575
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-05-10 03:05:52.415611
Pants 28,5216160.0,4.0,3,L,Men,2026-05-10 03:05:52.415647
Outerwear 29,861600.0,3.1,3,XL,Women,2026-05-10 03:05:52.415682
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-05-10 03:05:52.415717
